File,Sketch,Time-tree,Size-tree
f:05-nw:100-ml:14-0.trace,"?b1(?1,F(&(p,F(q))))",54.01,7
f:08-nw:050-ml:10-0.trace,"?b1(F(q),?b2(p,q))",11.77,6
f:04-nw:100-ml:06-0.trace,?u1(p),1.6,2
f:03-nw:025-ml:06-0.trace,"?u1(->(q,?1))",6.21,4
f:06-nw:400-ml:06-0.trace,"G(&(p,?b1(!(q),?1)))",104.01,7
f:06-nw:100-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",9.64,10
f:07-nw:400-ml:14-0.trace,?u1(p),21.81,2
f:02-nw:025-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",11.98,7
f:08-nw:200-ml:10-0.trace,"->(?1,U(p,q))",83.64,5
f:09-nw:025-ml:06-0.trace,"?u1(->(q,?1))",2.29,4
f:02-nw:200-ml:10-0.trace,"->(?1,U(!(p),q))",79.11,6
f:08-nw:025-ml:14-0.trace,"?b1(F(q),?b2(p,q))",10.95,6
f:06-nw:010-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",1.5,10
f:02-nw:050-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",10.84,7
f:04-nw:010-ml:10-0.trace,?u1(p),0.4,2
f:09-nw:100-ml:14-0.trace,"?u1(->(q,?u1(p)))",22.21,5
f:04-nw:050-ml:10-0.trace,?u1(?1),2.65,2
f:08-nw:400-ml:06-0.trace,"->(?1,U(p,q))",73.32,5
f:08-nw:100-ml:06-0.trace,"->(?1,?b1(p,q))",14.04,5
f:02-nw:010-ml:10-0.trace,"->(?1,?b1(!(p),q))",2.53,6
f:06-nw:200-ml:10-0.trace,"G(&(p,?b1(!(q),?1)))",382.59,7
f:03-nw:025-ml:10-0.trace,"?u1(->(q,?1))",15.18,4
f:06-nw:400-ml:10-0.trace,"G(&(p,?b1(!(q),?1)))",822.29,7
f:06-nw:100-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",23.87,10
f:08-nw:200-ml:06-0.trace,"->(?1,U(p,q))",29.06,5
f:08-nw:050-ml:06-0.trace,"?b1(F(q),?b2(p,q))",4.75,6
f:04-nw:100-ml:10-0.trace,?u1(p),3.08,2
f:09-nw:050-ml:14-0.trace,"?u1(->(q,?1))",11.7,4
f:02-nw:400-ml:10-0.trace,"->(?1,U(!(p),q))",183.72,6
f:07-nw:025-ml:10-0.trace,G(?1),0.58,2
f:09-nw:010-ml:14-0.trace,"?u1(->(q,?u1(p)))",2.21,5
f:08-nw:010-ml:06-0.trace,"->(?1,?b1(p,q))",1.23,5
f:02-nw:100-ml:10-0.trace,"->(?1,?b1(!(p),q))",33.68,6
f:05-nw:025-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",6.92,9
f:04-nw:200-ml:06-0.trace,?u1(?1),14.29,2
f:07-nw:050-ml:14-0.trace,?u1(p),2.81,2
f:05-nw:200-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",111.21,9
f:06-nw:050-ml:06-0.trace,"G(&(p,?b1(!(q),?1)))",4.56,7
f:01-nw:010-ml:14-0.trace,?u1(!(p)),0.65,3
f:05-nw:050-ml:14-0.trace,"|(?1,F(&(p,F(q))))",22.11,7
f:08-nw:400-ml:10-0.trace,"?b1(F(q),?b2(p,q))",81.47,6
f:07-nw:200-ml:14-0.trace,G(?1),32.52,2
f:03-nw:010-ml:14-0.trace,"G(->(q,?1))",2.7,4
f:04-nw:010-ml:06-0.trace,F(?1),0.15,2
f:02-nw:050-ml:06-0.trace,"->(?1,U(!(p),q))",5.48,6
f:06-nw:010-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",1.44,13
f:02-nw:200-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",19.95,7
f:01-nw:050-ml:14-0.trace,?u1(!(?1)),4.72,3
f:07-nw:010-ml:14-0.trace,?u1(?1),0.68,2
f:03-nw:200-ml:14-0.trace,"?u1(->(q,?1))",285.45,4
f:01-nw:100-ml:14-0.trace,?u1(!(p)),5.79,3
f:05-nw:025-ml:06-0.trace,"|(?1,F(&(p,F(q))))",2.64,7
f:06-nw:025-ml:14-0.trace,"G(&(p,?b1(!(q),?1)))",9.62,7
f:03-nw:100-ml:14-0.trace,"G(->(q,?1))",118.47,4
f:02-nw:400-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",35.21,7
f:07-nw:025-ml:06-0.trace,?u1(p),0.47,2
f:05-nw:400-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",226.28,9
f:04-nw:100-ml:06-0.trace,F(?1),3.26,2
f:04-nw:400-ml:06-0.trace,?u1(?1),48.23,2
f:01-nw:025-ml:06-0.trace,?u1(!(?1)),0.68,3
f:08-nw:050-ml:10-0.trace,"->(?1,U(p,q))",12.83,5
f:07-nw:400-ml:14-0.trace,G(?1),120.06,2
f:08-nw:200-ml:10-0.trace,"?b1(F(q),?b2(p,q))",49.17,6
f:02-nw:025-ml:14-0.trace,"->(?1,U(!(p),q))",10.92,6
f:06-nw:100-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",13.04,13
f:07-nw:100-ml:14-0.trace,?u1(?1),12.43,2
f:07-nw:050-ml:06-0.trace,?u1(?1),1.62,2
f:04-nw:200-ml:14-0.trace,?u1(p),10.93,2
f:01-nw:010-ml:06-0.trace,?u1(!(?1)),0.3,3
f:06-nw:050-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",28.01,13
f:05-nw:200-ml:06-0.trace,"?b1(?1,F(&(p,F(q))))",27.63,7
f:02-nw:010-ml:14-0.trace,"->(?1,U(!(p),q))",4.18,6
f:06-nw:200-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",144.13,10
f:09-nw:400-ml:10-0.trace,"?u1(->(q,?u1(p)))",51.42,5
f:04-nw:050-ml:14-0.trace,F(?1),2.72,2
f:03-nw:050-ml:06-0.trace,"G(->(q,?1))",12.09,4
f:01-nw:200-ml:06-0.trace,G(!(?1)),11.42,3
f:05-nw:010-ml:06-0.trace,"|(?1,F(&(p,F(q))))",1.08,7
f:01-nw:050-ml:06-0.trace,?u1(!(p)),1.03,3
f:02-nw:200-ml:14-0.trace,"->(?1,?b1(!(p),q))",175.46,6
f:06-nw:010-ml:14-0.trace,"G(&(p,?b1(!(q),?1)))",3.28,7
f:03-nw:200-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",13.86,6
f:07-nw:010-ml:06-0.trace,?u1(p),0.22,2
f:01-nw:400-ml:06-0.trace,G(!(?1)),41.13,3
f:04-nw:025-ml:06-0.trace,F(?1),0.36,2
f:01-nw:100-ml:06-0.trace,?u1(!(?1)),4.5,3
f:06-nw:025-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",3.18,13
f:03-nw:400-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",26.8,6
f:02-nw:100-ml:14-0.trace,"->(?1,U(!(p),q))",59.83,6
f:02-nw:400-ml:14-0.trace,"->(?1,?b1(!(p),q))",418.7,6
f:07-nw:025-ml:14-0.trace,?u1(?1),1.89,2
f:09-nw:050-ml:10-0.trace,"G(->(q,?1))",4.33,4
f:05-nw:400-ml:06-0.trace,"?b1(?1,F(&(p,F(q))))",101.96,7
f:05-nw:100-ml:06-0.trace,"|(?1,F(&(p,F(q))))",13.37,7
f:04-nw:400-ml:14-0.trace,?u1(p),20.59,2
f:01-nw:025-ml:14-0.trace,?u1(!(p)),1.48,3
f:06-nw:100-ml:14-0.trace,"G(&(p,?b1(!(q),?1)))",54.78,7
f:07-nw:100-ml:06-0.trace,?u1(p),1.73,2
f:03-nw:025-ml:14-0.trace,"G(->(q,?1))",23.8,4
f:09-nw:200-ml:10-0.trace,"?u1(->(q,?u1(p)))",28.38,5
f:06-nw:400-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",466.23,10
f:07-nw:010-ml:10-0.trace,G(?1),0.22,2
f:09-nw:025-ml:14-0.trace,"?u1(->(q,?u1(p)))",5.23,5
f:03-nw:200-ml:10-0.trace,"G(->(q,?1))",148.63,4
f:01-nw:050-ml:10-0.trace,G(!(?1)),1.81,3
f:08-nw:025-ml:06-0.trace,"->(?1,?b1(p,q))",3.01,5
f:05-nw:010-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",3.05,9
f:01-nw:200-ml:10-0.trace,?u1(!(p)),7.5,3
f:03-nw:050-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",6.86,6
f:07-nw:200-ml:10-0.trace,?u1(?1),21.89,2
f:03-nw:010-ml:10-0.trace,"?u1(->(q,?1))",2.16,4
f:09-nw:100-ml:06-0.trace,"?u1(->(q,?1))",11.2,4
f:09-nw:400-ml:06-0.trace,"G(->(q,?1))",77.89,4
f:05-nw:050-ml:10-0.trace,"?b1(?1,F(&(p,F(q))))",10.61,7
f:08-nw:100-ml:14-0.trace,"?b1(F(q),?b2(p,q))",47.97,6
f:09-nw:200-ml:06-0.trace,"G(->(q,?1))",26.55,4
f:07-nw:100-ml:10-0.trace,G(?1),4.7,2
f:07-nw:400-ml:10-0.trace,?u1(?1),72.29,2
f:02-nw:025-ml:10-0.trace,"->(?1,?b1(!(p),q))",6.52,6
f:08-nw:050-ml:14-0.trace,"->(?1,?b1(p,q))",28.11,5
f:05-nw:100-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",26.72,9
f:09-nw:050-ml:06-0.trace,"?u1(->(q,?u1(p)))",2.93,5
f:03-nw:100-ml:10-0.trace,"?u1(->(q,?1))",65.78,4
f:09-nw:010-ml:06-0.trace,"?u1(->(q,?1))",0.46,4
f:08-nw:010-ml:14-0.trace,"?b1(F(q),?b2(p,q))",4.69,6
f:06-nw:025-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",4.01,10
f:03-nw:400-ml:10-0.trace,"G(->(q,?1))",399.06,4
f:01-nw:400-ml:10-0.trace,?u1(!(p)),14.96,3
f:04-nw:025-ml:10-0.trace,?u1(p),0.87,2
f:05-nw:400-ml:14-0.trace,"|(?1,F(&(p,F(q))))",900,0
f:03-nw:400-ml:14-0.trace,"?u1(->(q,?1))",900,0
