File,Sketch,Time-tree_bmc,Size-tree_bmc
f:03-nw:400-ml:06-0.trace,"?u1(->(q,?1))",133.43,4
f:01-nw:010-ml:14-0.trace,?u1(!(?1)),0.56,3
f:06-nw:400-ml:14-0.trace,"G(&(p,?b1(!(q),?1)))",466.73,7
f:04-nw:010-ml:06-0.trace,?u1(?1),0.26,2
f:02-nw:010-ml:10-0.trace,"->(?1,?b1(!(p),q))",1.92,6
f:08-nw:050-ml:06-0.trace,"->(?1,?b1(p,q))",5.54,5
f:05-nw:400-ml:10-0.trace,"?b1(?1,F(&(p,F(q))))",221.62,7
f:01-nw:025-ml:10-0.trace,?u1(!(?1)),1.06,3
f:06-nw:400-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",73.1,13
f:01-nw:010-ml:10-0.trace,?u1(!(p)),0.35,3
f:03-nw:025-ml:10-0.trace,"G(->(q,?1))",9.44,4
f:02-nw:025-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",3.62,7
f:07-nw:400-ml:10-0.trace,G(?1),62.89,2
f:09-nw:100-ml:06-0.trace,"?u1(->(q,?u1(p)))",5.23,5
f:08-nw:100-ml:06-0.trace,"->(?1,U(p,q))",10.19,5
f:08-nw:200-ml:10-0.trace,"->(?1,?b1(p,q))",70.92,5
f:08-nw:200-ml:14-0.trace,"?b1(F(q),?b2(p,q))",37.67,6
f:09-nw:200-ml:14-0.trace,"G(->(q,?1))",113.49,4
f:07-nw:025-ml:14-0.trace,?u1(?1),1.56,2
f:02-nw:025-ml:06-0.trace,"->(?1,?b1(!(p),q))",2.46,6
f:01-nw:010-ml:06-0.trace,?u1(!(?1)),0.27,3
f:03-nw:400-ml:14-0.trace,"?u1(->(q,?1))",630.21,4
f:04-nw:010-ml:14-0.trace,?u1(?1),0.47,2
f:06-nw:400-ml:06-0.trace,"G(&(p,?b1(!(q),?1)))",98.11,7
f:09-nw:050-ml:10-0.trace,"G(->(q,?1))",3.91,4
f:03-nw:010-ml:06-0.trace,"G(->(q,?1))",0.81,4
f:01-nw:025-ml:06-0.trace,?u1(!(p)),0.51,3
f:01-nw:400-ml:14-0.trace,G(!(?1)),120.14,3
f:06-nw:010-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",1.48,10
f:04-nw:400-ml:06-0.trace,F(?1),43.66,2
f:04-nw:025-ml:14-0.trace,?u1(p),0.91,2
f:07-nw:010-ml:14-0.trace,?u1(p),0.43,2
f:05-nw:400-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",33.24,9
f:05-nw:025-ml:14-0.trace,"|(?1,F(&(p,F(q))))",6.65,7
f:02-nw:010-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",0.72,7
f:08-nw:050-ml:10-0.trace,"?b1(F(q),?b2(p,q))",6.52,6
f:06-nw:025-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",2.59,10
f:04-nw:010-ml:10-0.trace,?u1(p),0.32,2
f:03-nw:400-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",44.71,6
f:02-nw:400-ml:10-0.trace,"->(?1,U(!(p),q))",157.27,6
f:07-nw:025-ml:10-0.trace,?u1(p),0.71,2
f:05-nw:010-ml:10-0.trace,"|(?1,F(&(p,F(q))))",1.61,7
f:08-nw:050-ml:14-0.trace,"->(?1,?b1(p,q))",16.8,5
f:07-nw:010-ml:10-0.trace,?u1(?1),0.37,2
f:04-nw:025-ml:10-0.trace,?u1(?1),0.92,2
f:08-nw:100-ml:14-0.trace,"?b1(F(q),?b2(p,q))",19.95,6
f:09-nw:100-ml:14-0.trace,"G(->(q,?1))",38.1,4
f:09-nw:200-ml:06-0.trace,"?u1(->(q,?u1(p)))",10.94,5
f:08-nw:200-ml:06-0.trace,"->(?1,U(p,q))",26.8,5
f:08-nw:100-ml:10-0.trace,"->(?1,?b1(p,q))",25.81,5
f:02-nw:010-ml:14-0.trace,"->(?1,U(!(p),q))",2.1,6
f:05-nw:400-ml:14-0.trace,"|(?1,F(&(p,F(q))))",602.57,7
f:05-nw:025-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",2.29,9
f:07-nw:010-ml:06-0.trace,G(?1),0.12,2
f:04-nw:400-ml:14-0.trace,?u1(p),14.23,2
f:04-nw:025-ml:06-0.trace,F(?1),0.34,2
f:06-nw:010-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",1.15,13
f:01-nw:025-ml:14-0.trace,G(!(?1)),0.9,3
f:01-nw:400-ml:06-0.trace,?u1(!(p)),6.54,3
f:03-nw:010-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",1.56,6
f:06-nw:025-ml:06-0.trace,"G(&(p,?b1(!(q),?1)))",1.77,7
f:03-nw:025-ml:14-0.trace,"?u1(->(q,?1))",15.92,4
f:02-nw:400-ml:06-0.trace,"->(?1,?b1(!(p),q))",76.77,6
f:07-nw:400-ml:14-0.trace,?u1(?1),125.93,2
f:05-nw:010-ml:06-0.trace,"?b1(?1,F(&(p,F(q))))",0.69,7
f:03-nw:010-ml:10-0.trace,"?u1(->(q,?1))",1.67,4
f:09-nw:050-ml:06-0.trace,"?u1(->(q,?1))",4.42,4
f:04-nw:400-ml:10-0.trace,?u1(?1),74.58,2
f:07-nw:400-ml:10-0.trace,?u1(p),10.16,2
f:02-nw:025-ml:10-0.trace,"->(?1,U(!(p),q))",3.85,6
f:01-nw:010-ml:10-0.trace,G(!(?1)),0.21,3
f:03-nw:025-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",2.78,6
f:06-nw:400-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",187.51,10
f:04-nw:100-ml:10-0.trace,?u1(?1),6.18,2
f:03-nw:200-ml:14-0.trace,"?u1(->(q,?1))",215.85,4
f:06-nw:200-ml:06-0.trace,"G(&(p,?b1(!(q),?1)))",36.58,7
f:07-nw:100-ml:10-0.trace,?u1(p),2.3,2
f:01-nw:200-ml:14-0.trace,G(!(?1)),32.54,3
f:04-nw:200-ml:06-0.trace,F(?1),11.72,2
f:05-nw:200-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",16.79,9
f:06-nw:100-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",17.55,10
f:03-nw:200-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",22.48,6
f:05-nw:100-ml:14-0.trace,"|(?1,F(&(p,F(q))))",43.62,7
f:04-nw:100-ml:14-0.trace,?u1(p),3.73,2
f:02-nw:200-ml:10-0.trace,"->(?1,U(!(p),q))",64.61,6
f:01-nw:100-ml:06-0.trace,?u1(!(p)),1.75,3
f:02-nw:100-ml:06-0.trace,"->(?1,?b1(!(p),q))",13.12,6
f:07-nw:100-ml:14-0.trace,?u1(?1),11.08,2
f:07-nw:050-ml:06-0.trace,G(?1),1.2,2
f:02-nw:050-ml:14-0.trace,"->(?1,U(!(p),q))",14.33,6
f:03-nw:050-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",7.97,6
f:06-nw:050-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",5.17,13
f:05-nw:050-ml:06-0.trace,"?b1(?1,F(&(p,F(q))))",3.85,7
f:08-nw:400-ml:10-0.trace,"->(?1,?b1(p,q))",177.11,5
f:03-nw:050-ml:10-0.trace,"?u1(->(q,?1))",22.37,4
f:09-nw:010-ml:06-0.trace,"?u1(->(q,?1))",0.4,4
f:08-nw:400-ml:14-0.trace,"?b1(F(q),?b2(p,q))",66.57,6
f:08-nw:025-ml:06-0.trace,"->(?1,U(p,q))",1.98,5
f:09-nw:400-ml:14-0.trace,"G(->(q,?1))",416.33,4
f:09-nw:025-ml:06-0.trace,"?u1(->(q,?u1(p)))",1.38,5
f:01-nw:050-ml:10-0.trace,G(!(?1)),1.64,3
f:05-nw:200-ml:14-0.trace,"|(?1,F(&(p,F(q))))",127.16,7
f:03-nw:100-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",11.39,6
f:02-nw:100-ml:10-0.trace,"->(?1,U(!(p),q))",22.35,6
f:04-nw:200-ml:14-0.trace,?u1(p),7.63,2
f:01-nw:200-ml:06-0.trace,?u1(!(p)),3.41,3
f:02-nw:200-ml:06-0.trace,"->(?1,?b1(!(p),q))",32.29,6
f:07-nw:200-ml:14-0.trace,?u1(?1),36.55,2
f:04-nw:200-ml:10-0.trace,?u1(?1),20.92,2
f:03-nw:100-ml:14-0.trace,"?u1(->(q,?1))",81.29,4
f:06-nw:100-ml:06-0.trace,"G(&(p,?b1(!(q),?1)))",14.95,7
f:01-nw:100-ml:14-0.trace,G(!(?1)),9.05,3
f:07-nw:200-ml:10-0.trace,?u1(p),4.66,2
f:04-nw:100-ml:06-0.trace,F(?1),3.17,2
f:05-nw:100-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",9.06,9
f:06-nw:200-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",58.41,10
f:08-nw:025-ml:10-0.trace,"->(?1,?b1(p,q))",4.9,5
f:04-nw:050-ml:14-0.trace,?u1(?1),3.67,2
f:01-nw:050-ml:06-0.trace,?u1(!(?1)),1.49,3
f:06-nw:050-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",12,10
f:09-nw:010-ml:10-0.trace,"G(->(q,?1))",0.46,4
f:03-nw:050-ml:06-0.trace,"G(->(q,?1))",10.67,4
f:02-nw:050-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",3.88,7
f:08-nw:010-ml:10-0.trace,"?b1(F(q),?b2(p,q))",1.46,6
f:07-nw:050-ml:14-0.trace,?u1(p),1.88,2
f:09-nw:400-ml:06-0.trace,"?u1(->(q,?u1(p)))",23.18,5
f:09-nw:025-ml:14-0.trace,"G(->(q,?1))",2.35,4
f:04-nw:050-ml:10-0.trace,?u1(p),1.29,2
f:05-nw:050-ml:10-0.trace,"|(?1,F(&(p,F(q))))",9.52,7
f:08-nw:400-ml:06-0.trace,"->(?1,U(p,q))",66.25,5
f:08-nw:025-ml:14-0.trace,"?b1(F(q),?b2(p,q))",4.89,6
f:07-nw:050-ml:10-0.trace,?u1(?1),2.19,2
f:08-nw:010-ml:14-0.trace,"->(?1,?b1(p,q))",2.64,5
